W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
W,41,88,0.466,11,32,0.344,21,23,0.913,9,57,34,7,1,14,14,38,99,0.384,11,38,0.289,6,8,0.75,12,48,21,8,1,13,19
W,37,81,0.457,10,22,0.455,27,31,0.871,9,42,22,9,0,13,19,44,83,0.53,9,29,0.31,8,14,0.571,5,37,22,5,4,15,26
W,43,92,0.467,13,35,0.371,10,12,0.833,11,45,19,7,3,16,24,37,86,0.43,10,32,0.313,24,25,0.96,7,42,16,9,7,14,17
L,38,82,0.463,8,35,0.229,17,20,0.85,11,39,26,3,6,14,18,46,90,0.511,14,33,0.424,17,21,0.81,12,44,30,7,3,7,20
W,42,85,0.494,12,32,0.375,13,16,0.813,10,50,26,7,3,21,26,34,91,0.374,7,36,0.194,17,28,0.607,17,45,20,8,6,13,16
W,40,82,0.488,8,29,0.276,12,12,1,9,50,25,4,5,10,15,33,93,0.355,17,44,0.386,8,12,0.667,13,41,19,6,2,5,11
W,47,90,0.522,11,24,0.458,14,19,0.737,14,41,29,7,6,10,20,44,86,0.512,8,24,0.333,17,25,0.68,9,39,23,5,5,10,20
W,46,87,0.529,15,31,0.484,18,25,0.72,12,47,25,7,2,11,19,43,85,0.506,16,37,0.432,22,30,0.733,10,39,23,6,0,9,21
W,48,79,0.608,10,25,0.4,14,17,0.824,4,32,25,8,3,13,24,38,73,0.521,7,17,0.412,28,33,0.848,8,35,19,7,1,13,15
W,41,92,0.446,12,37,0.324,15,16,0.938,11,59,24,6,2,8,17,33,89,0.371,6,35,0.171,18,22,0.818,9,48,13,4,6,10,12
L,48,88,0.545,16,37,0.432,12,12,1,4,34,28,7,3,6,15,47,82,0.573,20,40,0.5,14,15,0.933,4,37,28,4,4,10,11
W,51,88,0.58,22,39,0.564,8,12,0.667,4,37,38,8,4,13,17,42,82,0.512,11,32,0.344,19,24,0.792,6,37,28,11,3,13,16
W,46,86,0.535,24,46,0.522,12,13,0.923,5,41,35,5,7,10,14,36,93,0.387,5,33,0.152,20,23,0.87,17,49,19,5,4,12,12
W,50,99,0.505,16,33,0.485,16,18,0.889,13,43,29,6,5,7,13,37,84,0.44,12,39,0.308,14,19,0.737,13,46,15,6,6,16,17
L,44,87,0.506,14,38,0.368,19,27,0.704,7,41,26,9,6,14,25,43,88,0.489,13,36,0.361,25,27,0.926,9,46,24,8,5,13,21
W,44,88,0.5,6,22,0.273,12,15,0.8,3,30,35,11,4,7,11,39,78,0.5,12,31,0.387,7,10,0.7,6,41,25,2,4,17,16
W,44,89,0.494,7,27,0.259,23,24,0.958,8,47,27,7,5,16,18,35,93,0.376,8,35,0.229,21,24,0.875,10,44,21,12,4,15,22
W,38,77,0.494,16,29,0.552,22,25,0.88,5,35,30,5,7,13,16,40,79,0.506,11,31,0.355,13,17,0.765,5,34,18,6,8,12,23
